"risk","pred_temp","sp_auto","mean_genotypemu0","mean_genotypenu","mean_genotypealpha","mean_genotypebeta","mean_genotypethr","mean_phenotypemu0","mean_phenotypenu","mean_phenotypealpha","mean_phenotypebeta","sd_genotypemu0","sd_genotypenu","sd_genotypealpha","sd_genotypebeta","sd_genotypethr","sd_phenotypemu0","sd_phenotypenu","sd_phenotypealpha","sd_phenotypebeta","mean_moved"
0.005,0,0,26.2161654255374,0.0602885562253271,291.101315106068,7635.40324303637,1.06283273490179,0.0299051775130922,110.306828627288,344.810982067691,7674.57427796959,14.8631650509174,0.117767238508825,541.500445325381,13812.8831986995,0.785279968692666,0.229234520846444,167.647165524642,549.420863915326,13661.3067416063,109.752
0.005,0,0,70.1726554635988,0.0240999250711011,507.077315310314,9697.89214634582,1.30083570349982,0.0453598568228393,117.992131552574,563.520219821391,9782.62329000749,18.1626414444801,0.0398317865449084,869.023805646484,26666.8601302023,0.864484644363297,0.209669168911367,189.848209972656,871.328492204774,26385.5777414264,117.469
0.005,0,0,44.8266270316939,0.0343170516396827,394.020125990264,5929.32482768344,0.959584556598419,0.0391598804163424,108.865252886571,446.56593476396,5992.76706982299,16.6900713979234,0.063486838199694,707.368259334397,13391.2473038969,0.630138771939512,0.203399061137554,156.521190944226,708.677193581653,13247.7870717602,108.325
0.005,0,0,32.5307525903227,0.0804932369916233,353.771406791248,41447.1758815867,0.696331404741134,0.0476632572931784,105.987501320881,404.94922502319,41340.881706275,17.0564235708824,0.135839775466261,477.504276702235,105008.04675184,0.527428269710287,0.227248526085235,145.931656570797,478.623368372098,103998.696318773,105.421
0.005,0,0,39.3279047642356,0.0901872187278494,606.900821298484,317469.132830737,0.86157619624396,0.0537085041684668,113.432238859643,660.631757195123,316019.206059232,21.2544684146787,0.160910297629988,961.01822775423,895984.481586772,0.688743162271581,0.225551823466723,171.580798756672,956.776073509343,886335.023366352,112.846
0.005,0,0.1,58.4974424569062,0.0317369904102529,624.685487857588,42025.8037026301,0.989934545200651,0.0331802465449417,101.724704178055,672.39999558342,41888.4415458158,23.9960373701932,0.0545450020734885,1128.87122531393,170397.485663359,0.815903663960054,0.210845899699153,158.479991099935,1122.38004481567,168607.752372246,101.179
0.005,0,0.1,49.4106578885947,0.0485343259658239,335.549936563616,4688.75547700847,1.10069465653061,0.0434074715458831,101.287586936197,384.446943352444,4754.41125736698,17.7398370602253,0.0792896482453038,619.728176794787,10868.8264685606,0.815888012163502,0.209116502909715,156.099745578892,621.385595680071,10760.6099535028,100.742
0.005,0,0.1,43.7177773795422,0.0313084030653581,472.683749003396,4812.11567575023,0.919211625174797,0.0277857999127996,98.957844674681,519.688704235297,4864.48320275618,18.9533186323145,0.0530921762831808,1563.36178930095,8152.49245939134,0.815778501286732,0.21039730969064,145.360794274818,1553.55860148483,8043.54050709103,98.424
0.005,0,0.1,33.3486687887474,0.0617697469476271,227.036527110335,2470.89469341427,1.09816067686285,0.0369731208480885,99.6243731951175,275.645938561431,2530.0418634194,16.1613739452397,0.103871309283832,309.19860702589,4783.91284345387,0.67833624690824,0.217929004520144,148.397592597148,317.520154236555,4722.41835101451,99.053
0.005,0,0.1,44.5996943673687,0.0146667007693678,259.364422068394,4979.59388778326,1.08628523620421,0.0113938849267984,101.885455271896,309.012573878388,5019.65459045084,17.7514215668015,0.0291879901641022,441.651676869878,8159.8592778593,0.646557330555219,0.210977350767668,156.766675714446,450.352896954139,8073.53508538102,101.354
0.005,0,0.2,57.0945286900599,0.0447477200622007,354.381012698744,1688.57541882289,1.16410860166695,0.0322964955822321,93.103701577647,399.224880576291,1757.16956489972,20.8807577773127,0.0964293341706518,718.478362731536,3413.46257570395,0.694484408561335,0.208337259226284,145.286604590797,720.675801967936,3384.39727749136,92.551
0.005,0,0.2,40.0927485306133,0.0741797333532641,284.167059502339,1613.98777922033,1.15903908373416,0.0382929210514649,93.9840831050955,329.71993977404,1677.7695583749,25.5039431812388,0.136537270790133,453.502571890376,3095.21020439959,0.798010692881658,0.220393632127251,149.174709987111,457.481364019494,3058.28658485279,93.426
0.005,0,0.2,73.1243429713838,0.0339567005880472,295.294380745479,20904.6379978675,0.935171957669003,0.0377301257273028,91.0692518885191,339.431503833743,20893.3481954992,28.6784872349143,0.0560369067391078,505.781437325187,64569.2731273536,0.745405331546357,0.20206520143695,135.789644228393,508.311803561477,63902.3135932225,90.528
0.005,0,0.2,81.7190594120897,0.0169130153753787,168.33049864141,3333.2488143528,0.889783539454558,0.0208355520338561,87.3456694119239,211.146290095788,3396.76751337824,22.6551449249934,0.0270938229364682,236.699709966182,9369.83816301292,0.603365163359309,0.198794765925525,120.325667664749,244.181771138664,9265.43981045156,86.833
