"risk","pred_temp","sp_auto","mean_genotypemu0","mean_genotypenu","mean_genotypealpha","mean_genotypebeta","mean_genotypethr","mean_phenotypemu0","mean_phenotypenu","mean_phenotypealpha","mean_phenotypebeta","sd_genotypemu0","sd_genotypenu","sd_genotypealpha","sd_genotypebeta","sd_genotypethr","sd_phenotypemu0","sd_phenotypenu","sd_phenotypealpha","sd_phenotypebeta","mean_moved"
0.005,0,0,2.29877103006406,27664.3289484934,38.1465260604951,362.317286374211,0.0182757572508994,2.19555841602661,27634.3608313305,89.9851711677793,713.028250518333,0.33856736673381,93449.4683850554,149.245766577724,727.298828839443,0.0361664637966167,0.282370326392862,92544.1146950146,171.187966178652,979.485259750814,103.563
0.005,0,0,2.31451962184155,65100.8528136778,1281.84814062194,314.766679919452,0.00512103170972777,2.23729747200528,64875.7403609559,1328.66180585628,686.095036179769,0.32426900681132,155452.147689788,4380.77516788367,747.437018689619,0.0150378649896451,0.27455891127123,153798.349669679,4333.90540221896,1007.63416328354,106.092
0.005,0,0,2.33936767587434,12875.5045388945,551.269463327279,12.7758989038784,0.010825496909068,2.21862364108957,12911.2654350837,599.628419761139,364.561018205195,0.338078887025689,36761.730877069,1459.10693499488,75.7829516525684,0.0328473932238792,0.271701373800845,36380.1676944963,1446.61996037136,528.34931529365,101.856
0.005,0,0,2.31384107353075,32694.8886244809,30719.9576026499,1326.50281872298,0.0419419689849531,2.21150294635314,32641.1304686904,30642.8048076289,1681.53233000874,0.325899214378694,78722.5048525885,145799.893647838,4186.6783888149,0.08874896123559,0.277317562719792,77917.8944556499,144531.250980314,4232.41859800882,105.173
0.005,0,0,2.33412083768437,16896.2856596505,18552.6837320366,65.0127195780377,0.0216819698244719,2.22976678491642,16912.2635055967,18509.8578044618,426.293775933529,0.32649890266029,53598.5037046863,38582.539552848,151.010860949032,0.0574272628040707,0.266416188952422,52998.8208763887,38162.3325015971,548.029544938054,104.322
0.005,0,0.1,2.06685374879715,12753.5906743695,31.622455123198,0.907345326806157,0.00472807052362427,1.96149363786608,12788.9238069042,77.0148695644458,252.050915786034,0.322093548119421,45703.0167864591,89.6380865504133,3.62250827772165,0.0140671787029238,0.258533219888523,45257.940315508,114.054400533209,366.401421071963,90.571
0.005,0,0.1,2.04599839000567,7895.08768031998,8805.5385826783,228.071572566692,0.100307553865151,1.93931182074455,7950.29293618847,8809.02225410811,481.648263363164,0.324586466150768,14509.1023699469,29095.8721734543,700.723494721628,0.188399946748125,0.265683274594108,14355.2939758145,28783.0899535793,841.237036614397,93.475
0.005,0,0.1,2.06879594579053,6303.60269366616,365.129630228048,7.0402930467527,0.0203138122732931,1.94370010415099,6363.68602978541,408.425742997563,251.927635398636,0.326949940321959,16364.0844976184,1029.79602609218,21.0852783399171,0.0521107852642201,0.260210281371264,16204.2536538431,1020.01541860339,347.713998924316,89.716
0.005,0,0.1,2.04691831889797,8210.488529582,101.919738509742,1.01888401045883,0.0245095615494329,1.92700959475935,8258.46459940132,146.940945129239,245.6261512388,0.3291196636313,31141.1706651074,449.01411782974,4.3389015664623,0.0400514360434246,0.263562557559503,30809.3758859069,463.471755243718,355.737714986046,90.641
0.005,0,0.1,2.04085919901271,14983.220743368,2.60608635268533,53.3833999237626,0.0126603502760772,1.94986479734041,14999.160362547,49.7999912933912,311.765425369142,0.325851895688514,35245.808656502,7.8884191893891,212.943887755866,0.0237003478752834,0.265800752059652,34844.1914143919,62.0812389155061,478.909242889049,93.913
